% Output from Matlab function sfrmat3.m
% Analysis:  Spatial Frequency Response
% 25-Jun-2018 17:07:50
% Image/data evaluated:  D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\middle.JPG
% This output file: D:\whp17\volumetricfocalstack\MATHWORKS_MTF\Results\re.txt
% Selected region: (2821, 2905), to (3031, 3301)
% OECF applied: none
%Sampling intervals	0.992	0.248
%Sampling Efficiency r,g,b,Lum	100	100	100	100
%  
% Frequency	    SFR-r	    SFR-g	    SFR-b	    Lum
   0.000	   1.0000	   1.0000	   1.0000	   1.0000
   0.807	   0.9332	   0.9536	   0.9395	   0.9464
   1.614	   0.8299	   0.8588	   0.8349	   0.8459
   2.421	   0.7162	   0.7560	   0.7313	   0.7367
   3.228	   0.5926	   0.6453	   0.6093	   0.6175
   4.035	   0.4616	   0.5349	   0.4916	   0.4982
   4.842	   0.3530	   0.4286	   0.3823	   0.3880
   5.649	   0.2502	   0.3276	   0.2845	   0.2869
   6.456	   0.1835	   0.2396	   0.2108	   0.2064
   7.263	   0.1317	   0.1694	   0.1548	   0.1442
   8.070	   0.1016	   0.1162	   0.1112	   0.0984
   8.877	   0.0738	   0.0769	   0.0724	   0.0643
   9.684	   0.0617	   0.0485	   0.0451	   0.0415
  10.491	   0.0496	   0.0304	   0.0299	   0.0281
  11.298	   0.0411	   0.0249	   0.0180	   0.0194
  12.105	   0.0343	   0.0238	   0.0138	   0.0160
  12.912	   0.0258	   0.0138	   0.0114	   0.0056
  13.719	   0.0205	   0.0096	   0.0083	   0.0059
  14.526	   0.0130	   0.0179	   0.0027	   0.0119
  15.333	   0.0057	   0.0168	   0.0018	   0.0111
  16.140	   0.0058	   0.0078	   0.0057	   0.0037
  16.947	   0.0050	   0.0056	   0.0072	   0.0022
  17.754	   0.0044	   0.0048	   0.0069	   0.0038
  18.561	   0.0117	   0.0050	   0.0107	   0.0061
  19.368	   0.0104	   0.0051	   0.0120	   0.0064
  20.175	   0.0096	   0.0092	   0.0144	   0.0089
  20.982	   0.0108	   0.0121	   0.0164	   0.0114
  21.789	   0.0117	   0.0100	   0.0139	   0.0099
  22.596	   0.0046	   0.0031	   0.0098	   0.0037
  23.403	   0.0015	   0.0062	   0.0049	   0.0040
  24.210	   0.0034	   0.0042	   0.0067	   0.0022
  25.017	   0.0100	   0.0066	   0.0082	   0.0071
  25.824	   0.0060	   0.0111	   0.0053	   0.0092
  26.631	   0.0042	   0.0115	   0.0031	   0.0085
  27.438	   0.0064	   0.0152	   0.0062	   0.0121
  28.245	   0.0125	   0.0163	   0.0129	   0.0142
  29.052	   0.0086	   0.0109	   0.0076	   0.0084
  29.859	   0.0057	   0.0078	   0.0049	   0.0049
  30.666	   0.0018	   0.0131	   0.0052	   0.0096
  31.473	   0.0056	   0.0159	   0.0086	   0.0125
  32.280	   0.0073	   0.0123	   0.0078	   0.0101
  33.087	   0.0091	   0.0114	   0.0072	   0.0098
  33.894	   0.0063	   0.0054	   0.0054	   0.0057
  34.701	   0.0029	   0.0036	   0.0012	   0.0016
  35.508	   0.0018	   0.0036	   0.0018	   0.0032
  36.315	   0.0047	   0.0051	   0.0067	   0.0058
  37.122	   0.0052	   0.0028	   0.0059	   0.0035
  37.929	   0.0013	   0.0072	   0.0032	   0.0045
  38.736	   0.0019	   0.0066	   0.0027	   0.0048
  39.543	   0.0044	   0.0049	   0.0114	   0.0061
  40.350	   0.0015	   0.0093	   0.0082	   0.0070
  41.157	   0.0023	   0.0107	   0.0044	   0.0078
  41.964	   0.0060	   0.0161	   0.0118	   0.0132
  42.771	   0.0111	   0.0225	   0.0161	   0.0194
  43.578	   0.0108	   0.0134	   0.0138	   0.0128
